noun,gender,gloss
abadía,feminine,abbey
abdicación,feminine,abdication
abducción,feminine,abduction
aberración,feminine,aberration
abertura,feminine,opening
ablación,feminine,ablation
abnegación,feminine,self-denial
abolición,feminine,abolition
abominación,feminine,abomination
abrasión,feminine,abrasion
abreviación,feminine,abbreviation
abreviatura,feminine,abbreviation
abscisa,feminine,abscissa
absolución,feminine,absolution
absorción,feminine,absorption
abstención,feminine,abstention
abstinencia,feminine,abstinence
abstracción,feminine,abstraction
abundancia,feminine,abundance
acacia,feminine,acacia
acampada,feminine,camping
accesibilidad,feminine,accessibility
acción,feminine,action
aceleración,feminine,acceleration
acentuación,feminine,accentuation
acepción,feminine,acceptation
acetona,feminine,acetone
acidez,feminine,acidity
acidosis,feminine,acidosis
aclamación,feminine,acclamation
aclaración,feminine,clarification
aclimatación,feminine,acclimatization
acomodación,feminine,accommodation
acotación,feminine,annotation
acritud,feminine,acridity
acrobacia,feminine,acrobatics
activación,feminine,activation
actividad,feminine,activity
actuación,feminine,performance
actualidad,feminine,current affairs
actualización,feminine,update
acuarela,feminine,watercolor
acuicultura,feminine,aquaculture
aculturación,feminine,acculturation
acumulación,feminine,accumulation
acupuntura,feminine,acupuncture
acusación,feminine,accusation
acuñación,feminine,minting
acústica,feminine,acoustics
adaptabilidad,feminine,adaptability
adaptación,feminine,adaptation
adecuación,feminine,appropriateness
adenina,feminine,adenine
adherencia,feminine,adhesion
adicción,feminine,addiction
adición,feminine,addition
adivinación,feminine,divination
adivinanza,feminine,riddle
adjudicación,feminine,adjudication
administración,feminine,administration
admiración,feminine,admiration
admisión,feminine,admission
adolescencia,feminine,adolescence
adopción,feminine,adoption
adoración,feminine,adoration
adquisición,feminine,acquisition
adrenalina,feminine,adrenaline
adscripción,feminine,assignment
adsorción,feminine,adsorption
aduana,feminine,customs
adulación,feminine,flattery
adulteración,feminine,adulteration
adultez,feminine,adulthood
advección,feminine,advection
adversidad,feminine,adversity
advertencia,feminine,warning
advocación,feminine,advocacy
afabilidad,feminine,amiability
afección,feminine,affection
afectación,feminine,affectation
afectividad,feminine,affectivity
afición,feminine,hobby
afiliación,feminine,affiliation
afinación,feminine,tuning
afinidad,feminine,affinity
afirmación,feminine,affirmation
aflicción,feminine,affliction
afluencia,feminine,affluence
agencia,feminine,agency
agenda,feminine,agenda
agilidad,feminine,agility
agitación,feminine,agitation
aglomeración,feminine,agglomeration
agregación,feminine,aggregation
agresividad,feminine,aggressiveness
agresión,feminine,aggression
agricultura,feminine,agriculture
agronomía,feminine,agronomy
agrupación,feminine,grouping
agua,feminine,water
agudeza,feminine,sharpness
aguja,feminine,needle
